,From_Table,From_Column,To_Table,Candidate_Column,Matching_Values,Len_From,To_Distinct_Vals,Name_Similarity,Share_Matched
0,Customer.txt,CustomerID,Address.txt,AddressID,144,847,449,0.3157894736842105,0.3207126948775056
0,Customer.txt,CustomerID,CustomerAddress.txt,CustomerID,407,847,407,1.0,1.0
0,Customer.txt,CustomerID,CustomerAddress.txt,AddressID,136,847,417,0.3157894736842105,0.3261390887290168
0,Customer.txt,CustomerID,Product.txt,ListPrice,2,847,99,0.3157894736842105,0.020202020202020204
0,Customer.txt,CustomerID,Product.txt,Weight,10,847,219,0.125,0.045662100456621
0,Customer.txt,CustomerID,Product.txt,ProductCategoryID,24,847,37,0.4444444444444444,0.6486486486486487
0,Customer.txt,CustomerID,Product.txt,ProductModelID,73,847,119,0.5,0.6134453781512605
0,Customer.txt,CustomerID,ProductCategory.txt,ProductCategoryID,28,847,41,0.4444444444444444,0.6829268292682927
0,Customer.txt,CustomerID,ProductCategory.txt,ParentProductCategoryID,4,847,8,0.36363636363636365,0.5
0,Customer.txt,CustomerID,ProductDescription.txt,ProductDescriptionID,23,847,762,0.4,0.030183727034120734
0,Customer.txt,CustomerID,ProductModel.txt,ProductModelID,80,847,128,0.5,0.625
0,Customer.txt,CustomerID,ProductModelProductDescription.txt,ProductModelID,79,847,127,0.5,0.6220472440944882
0,Customer.txt,CustomerID,ProductModelProductDescription.txt,ProductDescriptionID,23,847,762,0.4,0.030183727034120734
0,Customer.txt,CustomerID,SalesOrderDetail.txt,OrderQty,13,847,19,0.2222222222222222,0.6842105263157895
0,Customer.txt,CustomerID,SalesOrderDetail.txt,LineTotal,2,847,259,0.10526315789473684,0.007722007722007722
0,Customer.txt,CustomerID,SalesOrderHeader.txt,RevisionNumber,1,847,1,0.3333333333333333,1.0
0,Customer.txt,CustomerID,SalesOrderHeader.txt,Status,1,847,1,0.25,1.0
0,Customer.txt,CustomerID,SalesOrderHeader.txt,CustomerID,32,847,32,1.0,1.0
0,Customer.txt,CustomerID,SalesOrderHeader.txt,ShipToAddressID,8,847,32,0.24,0.25
0,Customer.txt,CustomerID,SalesOrderHeader.txt,BillToAddressID,8,847,32,0.24,0.25
